"","","","Seasons","Seasons","","Regular Season","Regular Season","Regular Season","Regular Season","Regular Season","Regular Season","Regular Season","Regular Season","Regular Season","Regular Season","","Playoffs","Playoffs","Playoffs","Playoffs","Playoffs","Playoffs","Playoffs","Playoffs","Playoffs"
"","","","w/ Franch","Overall","","Current Season","Current Season","Current Season","w/ Franchise","w/ Franchise","w/ Franchise","Career","Career","Career","Career","","Current Season","Current Season","Current Season","w/ Franchise","w/ Franchise","w/ Franchise","Career","Career","Career"
"Gregg Popovich","SAS","",27,27,"",82,22,60,2127,1366,761,2127,1366,761,0.642,"","","","",284,170,114,284,170,114
"Doc Rivers","PHI","",3,24,"",82,54,28,236,154,82,1860,1097,763,0.59,"",11,7,4,35,20,15,215,111,104
"Erik Spoelstra","MIA","",15,15,"",82,44,38,1195,704,491,1195,704,491,0.589,"",23,13,10,184,109,75,184,109,75
"Steve Kerr","GSW","",9,9,"",82,44,38,711,473,238,711,473,238,0.665,"",13,6,7,140,99,41,140,99,41
"Rick Carlisle","IND","",6,21,"",82,35,47,492,241,251,1689,896,793,0.53,"","","","",35,18,17,133,63,70
"Mike Budenholzer","MIL","",5,10,"",82,58,24,391,271,120,801,484,317,0.604,"",5,1,4,65,39,26,104,56,48
"Tyronn Lue","LAC","",3,7,"",82,44,38,236,133,103,447,261,186,0.584,"",5,1,4,24,11,13,85,52,33
"Mike Brown","SAC","",1,9,"",82,48,34,82,48,34,645,395,250,0.612,"",7,3,4,7,3,4,90,50,40
"Michael Malone","DEN","",8,10,"",82,53,29,637,367,270,743,406,337,0.546,"",20,16,4,68,37,31,68,37,31
"Tom Thibodeau","NYK","",3,11,"",82,47,35,236,125,111,834,477,357,0.572,"",11,6,5,16,7,9,72,31,41
"Monty Williams","PHO","",4,9,"",82,45,37,309,194,115,703,367,336,0.522,"",11,6,5,46,27,19,56,29,27
"Nick Nurse","TOR","",5,5,"",82,41,41,390,227,163,390,227,163,0.582,"","","","",41,25,16,41,25,16
"Dwane Casey","DET","",5,14,"",82,17,65,384,121,263,1064,494,570,0.464,"","","","",4,0,4,55,21,34
"Billy Donovan","CHI","",3,8,"",82,40,42,236,117,119,636,360,276,0.566,"","","","",5,1,4,46,19,27
"Jason Kidd","DAL","",2,7,"",82,38,44,164,90,74,537,273,264,0.508,"","","","",18,9,9,42,18,24
"Joe Mazzulla","BOS","",1,1,"",82,57,25,82,57,25,82,57,25,0.695,"",20,11,9,20,11,9,20,11,9
"Taylor Jenkins","MEM","",4,4,"",82,51,31,309,179,130,309,179,130,0.579,"",6,2,4,23,9,14,23,9,14
"Darvin Ham","LAL","",1,1,"",82,43,39,82,43,39,82,43,39,0.524,"",16,8,8,16,8,8,16,8,8
"Steve Clifford","CHO","",6,9,"",82,27,55,492,223,269,719,319,400,0.444,"","","","",11,3,8,21,5,16
"Chris Finch","MIN","",3,3,"",82,42,40,205,104,101,205,104,101,0.507,"",5,1,4,11,3,8,11,3,8
"Willie Green","NOP","",2,2,"",82,42,40,164,78,86,164,78,86,0.476,"","","","",6,2,4,6,2,4
"J.B. Bickerstaff","CLE","",4,7,"",82,51,31,247,122,125,463,207,256,0.447,"",5,1,4,5,1,4,10,2,8
"Will Hardy","UTA","",1,1,"",82,37,45,82,37,45,82,37,45,0.451,"","","","","","","","","",""
"Wes Unseld","WAS","",2,2,"",82,35,47,164,70,94,164,70,94,0.427,"","","","","","","","","",""
"Chauncey Billups","POR","",2,2,"",82,33,49,164,60,104,164,60,104,0.366,"","","","","","","","","",""
"Mark Daigneault","OKC","",3,3,"",82,40,42,236,86,150,236,86,150,0.364,"","","","","","","","","",""
"Jamahl Mosley","ORL","",2,2,"",82,34,48,164,56,108,164,56,108,0.341,"","","","","","","","","",""
"Stephen Silas","HOU","",3,3,"",82,22,60,236,59,177,236,59,177,0.25,"","","","","","","","","",""
