"Idx","Real","Sim"
1,0,0
2,1,0
3,1,-1
4,2,-1
5,1,-1
6,2,-1
7,2,-2
8,3,-1
9,2,-1
10,2,0
11,2,0
12,3,1
13,3,0
14,4,0
15,3,0
16,4,1
17,4,1
18,5,1
19,5,1
20,5,1
21,5,1
22,6,2
23,5,1
24,5,1
25,4,0
26,4,0
27,3,-1
28,4,-1
29,4,-1
30,5,-1
31,4,-1
32,5,-1
33,4,-1
34,4,0
35,4,0
36,4,1
37,4,1
38,5,1
39,4,1
40,4,1
41,3,1
42,3,1
43,2,0
44,2,1
45,1,1
46,1,1
47,0,0
48,0,1
49,0,0
50,0,1
51,0,1
52,0,1
53,0,0
54,0,0
55,0,0
56,1,1
57,1,0
58,2,0
59,2,-1
60,2,-1
61,1,-2
62,1,-2
63,0,-3
64,0,-3
65,0,-3
66,0,-2
67,-1,-2
68,-1,-2
69,-1,-2
70,0,-1
71,-1,-1
72,-1,-1
73,-2,-2
74,-2,-2
75,-2,-3
76,-1,-3
77,-2,-3
78,-2,-2
79,-3,-3
80,-2,-3
81,-2,-4
82,-1,-3
83,-2,-3
84,-1,-2
85,-2,-2
86,-1,-2
87,-2,-2
88,-1,-1
89,-1,-1
90,0,-1
91,0,-1
92,1,0
93,0,-1
94,1,-1
95,0,-2
96,0,-1
97,0,-2
98,0,-1
99,0,-2
100,0,-2
101,0,-3
102,0,-3
103,0,-3
104,1,-3
105,0,-4
106,0,-4
107,-1,-5
108,-1,-4
109,-2,-4
110,-1,-4
111,-1,-5
112,-1,-5
113,-2,-6
114,-2,-6
115,-3,-7
116,-2,-6
117,-2,-7
118,-2,-6
119,-2,-7
120,-2,-6
121,-2,-7
122,-1,-6
123,-2,-7
124,-1,-6
125,-1,-6
126,-1,-6
127,-2,-7
128,-1,-6
129,-2,-7
130,-1,-7
131,-2,-7
132,-1,-6
133,-1,-7
134,-1,-6
135,-2,-7
136,-2,-7
137,-2,-8
138,-1,-8
139,-2,-8
140,-1,-7
141,-1,-8
142,-1,-7
143,-2,-7
144,-2,-6
145,-2,-6
146,-3,-6
147,-3,-7
148,-3,-6
149,-3,-7
150,-3,-6
151,-2,-7
152,-2,-6
153,-1,-6
154,-2,-5
155,-1,-6
156,-1,-6
157,-1,-7
158,-2,-6
159,-1,-6
160,-2,-6
161,-2,-6
162,-3,-6
163,-3,-7
164,-4,-6
165,-4,-6
166,-4,-6
167,-3,-6
168,-3,-6
169,-2,-6
170,-3,-5
171,-3,-6
172,-3,-6
173,-3,-6
174,-3,-6
175,-3,-6
176,-3,-6
177,-3,-7
178,-4,-7
179,-4,-8
180,-5,-7
181,-5,-7
182,-5,-7
183,-5,-8
184,-5,-8
185,-5,-9
186,-6,-8
187,-6,-8
188,-7,-7
189,-7,-7
190,-8,-7
191,-7,-8
192,-8,-7
193,-7,-8
194,-7,-8
195,-7,-9
196,-7,-9
197,-6,-9
198,-6,-9
199,-6,-10
200,-7,-9
201,-6,-10
202,-6,-10
203,-6,-11
204,-7,-10
205,-7,-11
206,-8,-11
207,-8,-12
208,-9,-12
209,-8,-13
210,-9,-12
211,-9,-13
212,-9,-12
213,-8,-12
214,-8,-11
215,-8,-12
216,-9,-12
217,-8,-13
218,-8,-13
219,-8,-13
220,-8,-12
221,-8,-12
222,-9,-11
223,-8,-11
224,-8,-10
225,-7,-11
226,-8,-11
227,-7,-12
228,-7,-12
229,-6,-13
230,-6,-13
231,-5,-14
232,-6,-14
233,-6,-15
234,-6,-15
235,-6,-15
236,-7,-14
237,-7,-14
238,-7,-14
239,-7,-14
240,-8,-14
241,-7,-15
242,-8,-14
243,-8,-15
244,-8,-15
245,-8,-16
246,-9,-15
247,-9,-16
248,-10,-15
249,-9,-16
250,-10,-16
251,-9,-16
252,-10,-15
253,-9,-15
254,-10,-15
255,-10,-16
256,-11,-15
257,-11,-16
258,-11,-15
259,-11,-16
260,-11,-15
261,-10,-15
262,-11,-15
263,-11,-15
264,-12,-14
265,-12,-15
266,-12,-14
267,-11,-15
268,-11,-14
269,-10,-15
270,-10,-15
271,-9,-16
272,-10,-16
273,-9,-16
274,-9,-16
275,-9,-17
276,-10,-17
277,-10,-18
278,-10,-17
279,-9,-18
280,-10,-17
281,-10,-18
282,-11,-17
283,-11,-17
284,-12,-16
285,-12,-17
286,-13,-16
287,-12,-17
288,-12,-17
289,-11,-18
